lat,lon,probability
18.0,76.0,0.5769
18.0,76.25,0.5677
18.0,76.5,0.7444
18.0,76.75,0.6352
18.0,77.0,0.4834
18.0,77.25,0.5403
18.0,77.5,0.5691
18.0,77.75,0.2447
18.0,78.0,0.7064
18.0,78.25,0.6266
18.0,78.5,0.7432
18.0,78.75,0.5954
18.0,79.0,0.8416
18.0,79.25,0.7615
18.0,79.5,0.8229
18.0,79.75,0.7012
18.0,80.0,0.6066
18.0,80.25,0.9064
18.0,80.5,0.7223
18.0,80.75,0.3792
18.0,81.0,0.7011
18.0,81.25,0.8926
18.0,81.5,0.8457
18.0,81.75,0.7693
18.0,82.0,0.9692
18.0,82.25,0.9523
18.0,82.5,0.9159
18.0,82.75,0.993
18.0,83.0,0.7123
18.0,83.25,0.667
18.0,83.5,0.7168
18.0,83.75,0.2624
18.25,76.0,0.6816
18.25,76.25,0.5927
18.25,76.5,0.6161
18.25,76.75,0.3252
18.25,77.0,0.3128
18.25,77.25,0.446
18.25,77.5,0.5638
18.25,77.75,0.6972
18.25,78.0,0.8584
18.25,78.25,0.6801
18.25,78.5,0.6223
18.25,78.75,0.6716
18.25,79.0,0.6602
18.25,79.25,0.7582
18.25,79.5,0.6308
18.25,79.75,0.6962
18.25,80.0,0.8195
18.25,80.25,0.6631
18.25,80.5,0.811
18.25,80.75,0.8174
18.25,81.0,0.813
18.25,81.25,0.7819
18.25,81.5,0.8152
18.25,81.75,0.9532
18.25,82.0,0.6873
18.25,82.25,0.9032
18.25,82.5,0.9135
18.25,82.75,0.9078
18.25,83.0,0.8975
18.25,83.25,0.9575
18.25,83.5,0.7257
18.25,83.75,0.7195
18.5,76.0,0.4907
18.5,76.25,0.4082
18.5,76.5,0.7674
18.5,76.75,0.5013
18.5,77.0,0.5942
18.5,77.25,0.4847
18.5,77.5,0.6175
18.5,77.75,0.8898
18.5,78.0,0.7134
18.5,78.25,0.8633
18.5,78.5,0.7888
18.5,78.75,0.7874
18.5,79.0,0.8337
18.5,79.25,0.774
18.5,79.5,0.8334
18.5,79.75,0.6812
18.5,80.0,0.6173
18.5,80.25,0.4881
18.5,80.5,0.7575
18.5,80.75,0.9251
18.5,81.0,0.814
18.5,81.25,0.9975
18.5,81.5,0.937
18.5,81.75,0.7881
18.5,82.0,0.8757
18.5,82.25,0.7107
18.5,82.5,0.962
18.5,82.75,0.9232
18.5,83.0,0.9424
18.5,83.25,0.7984
18.5,83.5,0.7251
18.5,83.75,0.8472
18.75,76.0,0.6174
18.75,76.25,0.4592
18.75,76.5,0.5633
18.75,76.75,0.7578
18.75,77.0,0.6091
18.75,77.25,0.7368
18.75,77.5,0.6084
18.75,77.75,0.7238
18.75,78.0,0.8988
18.75,78.25,0.7492
18.75,78.5,0.6158
18.75,78.75,0.7805
18.75,79.0,0.8498
18.75,79.25,0.6528
18.75,79.5,0.798
18.75,79.75,0.7953
18.75,80.0,0.7477
18.75,80.25,0.7841
18.75,80.5,0.702
18.75,80.75,0.7585
18.75,81.0,0.9353
18.75,81.25,0.99
18.75,81.5,0.9565
18.75,81.75,0.6403
18.75,82.0,0.9891
18.75,82.25,0.9891
18.75,82.5,0.7689
18.75,82.75,0.5902
18.75,83.0,0.9005
18.75,83.25,0.8762
18.75,83.5,0.9439
18.75,83.75,0.9572
19.0,76.0,0.7441
19.0,76.25,0.7806
19.0,76.5,0.6387
19.0,76.75,0.6469
19.0,77.0,0.5558
19.0,77.25,0.4678
19.0,77.5,0.6862
19.0,77.75,0.6265
19.0,78.0,0.8227
19.0,78.25,0.5668
19.0,78.5,0.9493
19.0,78.75,0.6425
19.0,79.0,0.6223
19.0,79.25,0.9042
19.0,79.5,0.6081
19.0,79.75,0.923
19.0,80.0,0.7012
19.0,80.25,0.8647
19.0,80.5,0.5582
19.0,80.75,0.9885
19.0,81.0,0.8281
19.0,81.25,0.8877
19.0,81.5,0.9209
19.0,81.75,0.564
19.0,82.0,0.7979
19.0,82.25,0.6693
19.0,82.5,0.8591
19.0,82.75,0.8846
19.0,83.0,0.9861
